ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
1,Delhi,Delhi,Vasant Kunj,Apartment,1,466,81.57,17270,2004,Furnished,0,5,21,3,2,2,Open,Yes,"Pool, Community Hall",North,Owner,Immediate
2,Delhi,Delhi,Saket,Apartment,2,882,107.53,12485,2024,Semi-Furnished,1,5,1,1,1,2,Open,No,"Garden, CCTV",East,Owner,Immediate
3,Delhi,Delhi,Punjabi Bagh,Apartment,2,842,66.48,8082,2012,Unfurnished,2,4,13,2,3,3,Open,Yes,"CCTV, Gym, Playground",East,Agent,1 Month
4,Delhi,Delhi,Connaught Place,Builder_Floor,3,1598,240.74,17393,1992,Unfurnished,2,2,33,4,2,3,Open,Yes,"Power Backup, Lift",South,Owner,Immediate
5,Delhi,Delhi,Janakpuri,Apartment,4,2400,128.43,6021,2000,Unfurnished,3,4,25,7,1,2,Covered,No,"Community Hall, Clubhouse",East,Agent,1 Month
6,Delhi,Delhi,Lajpat Nagar,Apartment,1,456,38.68,9076,2007,Furnished,1,2,18,4,1,2,Covered,No,"Power Backup, Garden",East,Owner,1 Month
7,Delhi,Delhi,Karol Bagh,Apartment,3,1390,139.43,10134,2015,Semi-Furnished,1,5,10,2,1,2,Open,No,"Garden, Community Hall, CCTV",West,Owner,Immediate
8,Delhi,Delhi,Vasant Kunj,Apartment,3,1471,213.37,17215,1990,Unfurnished,0,5,35,4,4,3,Open,No,Lift,North,Owner,Immediate
9,Delhi,Delhi,Saket,Builder_Floor,3,1078,134.03,11939,2022,Unfurnished,0,5,3,3,2,2,Open,No,Garden,East,Builder,Immediate
10,Delhi,Delhi,Punjabi Bagh,Apartment,3,1480,144.48,9693,2010,Semi-Furnished,0,2,15,2,2,3,Open,Yes,"Pool, Clubhouse",North,Owner,Immediate
11,Delhi,Delhi,Dwarka,Builder_Floor,4,2075,106.81,5806,1998,Unfurnished,4,5,27,1,2,2,Open,Yes,Clubhouse,South,Builder,Immediate
12,Delhi,Delhi,Pitampura,Independent_House,2,882,62.21,6631,2018,Furnished,0,1,7,2,1,2,Open,Yes,"Clubhouse, Pool",North,Builder,Immediate
13,Delhi,Delhi,Dwarka,Apartment,1,503,30.11,5198,2022,Semi-Furnished,1,2,3,1,2,2,Open,No,"Power Backup, Clubhouse",West,Agent,Immediate
14,Delhi,Delhi,Dwarka,Apartment,3,1417,67.87,4622,2019,Unfurnished,0,5,6,4,2,2,Open,Yes,"Lift, Gym",South,Owner,Immediate
15,Delhi,Delhi,Rohini,Apartment,2,732,49.51,7811,1994,Semi-Furnished,2,2,31,3,1,1,No,No,"Gym, Clubhouse",South,Owner,Immediate
16,Delhi,Delhi,Connaught Place,Apartment,4,1920,316.24,18287,1990,Unfurnished,2,5,35,4,4,2,Open,No,"Community Hall, Power Backup, Gym",South,Owner,3+ Months
17,Delhi,Delhi,Karol Bagh,Builder_Floor,3,1433,102.78,7586,1993,Furnished,3,7,32,4,3,3,Open,Yes,,North,Agent,Immediate
18,Delhi,Delhi,Dwarka,Apartment,4,1794,98.05,6027,2005,Unfurnished,0,4,20,4,1,1,Open,Yes,Lift,East,Owner,1 Month
19,Delhi,Delhi,Lajpat Nagar,Apartment,2,884,88.72,10485,2009,Semi-Furnished,0,1,16,4,3,2,No,No,"Gym, Clubhouse, Playground, Garden",South,Agent,2 Months
20,Delhi,Delhi,Connaught Place,Apartment,2,873,206.9,22757,2024,Unfurnished,2,7,1,1,5,2,Open,Yes,"Gym, Garden",East,Owner,Immediate
21,Delhi,Delhi,Karol Bagh,Apartment,2,755,51.04,7127,2011,Semi-Furnished,2,4,14,3,2,2,Covered,No,Pool,North,Owner,2 Months
22,Delhi,Delhi,Saket,Apartment,2,851,109.39,12464,2006,Furnished,1,5,19,4,5,2,Open,Yes,"Garden, Pool, CCTV",East,Owner,Immediate
23,Delhi,Delhi,Dwarka,Independent_House,2,816,37.77,5666,1992,Unfurnished,0,5,33,1,2,1,Covered,No,"CCTV, Garden",South,Agent,3+ Months
24,Delhi,Delhi,South Extension,Apartment,4,2035,265.11,13491,2011,Unfurnished,3,8,14,4,2,3,Open,Yes,"Gym, CCTV",North,Agent,Immediate
25,Delhi,Delhi,South Extension,Apartment,3,1176,186.6,16906,2004,Semi-Furnished,1,4,21,0,4,2,Open,No,Playground,East,Owner,Immediate
26,Delhi,Delhi,Other,Independent_House,3,1048,32.12,3559,1997,Unfurnished,2,3,28,4,2,2,No,Yes,"CCTV, Lift",East,Owner,3+ Months
27,Delhi,Delhi,Dwarka,Apartment,4,1951,106.16,5508,1992,Unfurnished,0,4,33,3,3,3,Open,No,"Clubhouse, Lift, Community Hall, Pool",East,Owner,1 Month
